Data,Descrição,Categoria,Valor,Centro de Custo
2025-01-02,Padaria Pão Quente,Alimentação,-12.50,Família
2025-01-02,Café da manhã McDonald's,Alimentação,-28.90,Família
2025-01-03,Padaria Pão Quente,Alimentação,-15.80,Família
2025-01-03,Uber - Casa ao trabalho,Transporte,-18.50,Romeu
2025-01-03,Lanche escolar,Alimentação,-8.00,Filho
2025-01-04,Padaria Pão Quente,Alimentação,-13.20,Família
2025-01-04,Supermercado Dia - Compras da semana,Mercado,-245.80,Família
2025-01-04,Sorvete Kibom,Lazer,-32.00,Família
2025-01-05,Salário,Receita,5000.00,Romeu
2025-01-05,Salário,Receita,4500.00,Julieta
2025-01-05,Padaria Pão Quente,Alimentação,-11.90,Família
2025-01-05,Almoço Restaurante Sabor Caseiro,Alimentação,-68.00,Família
2025-01-06,Padaria Pão Quente,Alimentação,-14.30,Família
2025-01-06,Gasolina Posto Shell,Carro,-85.00,Família
2025-01-06,Farmácia São João - Remédios,Saúde,-42.90,Família
2025-01-07,Padaria Pão Quente,Alimentação,-16.20,Família
2025-01-07,Lanche escolar,Alimentação,-8.00,Filho
2025-01-07,Netflix - Assinatura,Lazer,-55.90,Família
2025-01-08,Padaria Pão Quente,Alimentação,-12.80,Família
2025-01-08,Aluguel Janeiro,Moradia,-1800.00,Família
2025-01-08,Feira livre - Frutas e verduras,Mercado,-78.50,Família
2025-01-09,Padaria Pão Quente,Alimentação,-13.50,Família
2025-01-09,Lanche escolar,Alimentação,-8.00,Filho
2025-01-09,Pizza Hut - Jantar,Alimentação,-89.90,Família
2025-01-10,Padaria Pão Quente,Alimentação,-15.90,Família
2025-01-10,Supermercado Extra - Compras,Mercado,-312.40,Família
2025-01-10,Brinquedos - Loja Ri Happy,Lazer,-125.00,Filho
2025-01-11,Padaria Pão Quente,Alimentação,-11.70,Família
2025-01-11,Churrascaria Boi na Brasa,Alimentação,-156.00,Família
2025-01-11,Cinema - Ingressos,Lazer,-84.00,Família
2025-01-11,Pipoca e refrigerante cinema,Lazer,-52.00,Família
2025-01-12,Padaria Pão Quente,Alimentação,-14.60,Família
2025-01-12,Parque de diversões,Lazer,-95.00,Filho
2025-01-13,Padaria Pão Quente,Alimentação,-12.30,Família
2025-01-13,Gasolina Posto Ipiranga,Carro,-90.00,Família
2025-01-13,Lavagem de carro,Carro,-35.00,Família
2025-01-14,Padaria Pão Quente,Alimentação,-13.80,Família
2025-01-14,Lanche escolar,Alimentação,-8.00,Filho
2025-01-14,Farmácia Drogasil - Vitaminas,Saúde,-67.50,Família
2025-01-15,Conta de Luz - CPFL,Energia,-180.00,Família
2025-01-15,Conta de Água - SABESP,Água,-95.00,Família
2025-01-15,Padaria Pão Quente,Alimentação,-15.40,Família
2025-01-15,Supermercado Carrefour,Mercado,-189.70,Família
2025-01-16,Padaria Pão Quente,Alimentação,-12.90,Família
2025-01-16,Lanche escolar,Alimentação,-8.00,Filho
2025-01-16,Uber Eats - Jantar,Alimentação,-72.50,Família
2025-01-17,Padaria Pão Quente,Alimentação,-14.50,Família
2025-01-17,Feira livre,Mercado,-62.30,Família
2025-01-17,Sorveteria Mil Sabores,Lazer,-45.00,Família
2025-01-18,Plano de Celular Vivo,Telefone,-120.00,Romeu
2025-01-18,Plano de Celular TIM,Telefone,-120.00,Julieta
2025-01-18,Padaria Pão Quente,Alimentação,-13.20,Família
2025-01-18,Almoço no trabalho,Alimentação,-35.00,Romeu
2025-01-19,Padaria Pão Quente,Alimentação,-16.80,Família
2025-01-19,Bob's - Lanche,Alimentação,-42.90,Família
2025-01-20,Padaria Pão Quente,Alimentação,-11.50,Família
2025-01-20,Gasolina Posto BR,Carro,-95.00,Família
2025-01-20,Estacionamento shopping,Transporte,-15.00,Família
2025-01-21,Padaria Pão Quente,Alimentação,-14.20,Família
2025-01-21,Lanche escolar,Alimentação,-8.00,Filho
2025-01-21,Material escolar - Papelaria,Educação,-156.80,Filho
2025-01-22,Padaria Pão Quente,Alimentação,-15.60,Família
2025-01-22,Supermercado Atacadão,Mercado,-278.90,Família
2025-01-22,Açougue Bom Corte,Mercado,-125.00,Família
2025-01-23,Padaria Pão Quente,Alimentação,-12.40,Família
2025-01-23,Lanche escolar,Alimentação,-8.00,Filho
2025-01-23,Farmácia Pague Menos - Dipirona,Saúde,-12.90,Família
2025-01-24,Padaria Pão Quente,Alimentação,-13.90,Família
2025-01-24,Feira livre,Mercado,-71.20,Família
2025-01-24,Shopping - Roupas,Vestuário,-189.90,Julieta
2025-01-25,Padaria Pão Quente,Alimentação,-15.30,Família
2025-01-25,Veterinário - Consulta,Pet,-180.00,Cachorro
2025-01-25,Restaurante Japonês,Alimentação,-198.00,Família
2025-01-26,Padaria Pão Quente,Alimentação,-11.80,Família
2025-01-26,Parque aquático,Lazer,-165.00,Família
2025-01-26,Lanche no parque,Alimentação,-56.00,Família
2025-01-27,Padaria Pão Quente,Alimentação,-14.70,Família
2025-01-27,Gasolina Posto Shell,Carro,-88.00,Família
2025-01-27,Uber - Centro médico,Transporte,-22.50,Julieta
2025-01-28,Padaria Pão Quente,Alimentação,-12.60,Família
2025-01-28,Lanche escolar,Alimentação,-8.00,Filho
2025-01-28,Ração para cachorro - 15kg,Pet,-95.00,Cachorro
2025-01-28,Petisco para cachorro,Pet,-28.50,Cachorro
2025-01-29,Padaria Pão Quente,Alimentação,-13.40,Família
2025-01-29,Supermercado Extra,Mercado,-198.60,Família
2025-01-29,Livraria Cultura - Livros,Educação,-87.90,Filho
2025-01-30,Padaria Pão Quente,Alimentação,-15.90,Família
2025-01-30,Lanche escolar,Alimentação,-8.00,Filho
2025-01-30,Farmácia - Protetor solar,Saúde,-45.90,Família
2025-01-31,Padaria Pão Quente,Alimentação,-12.20,Família
2025-01-31,Feira livre,Mercado,-68.40,Família
2025-01-31,Sorvete Kibom,Lazer,-28.00,Família
2025-02-01,Padaria Pão Quente,Alimentação,-14.80,Família
2025-02-01,Almoço Restaurante,Alimentação,-72.50,Família
2025-02-01,Presente aniversário amigo,Presentes,-95.00,Romeu
2025-02-02,Padaria Pão Quente,Alimentação,-11.90,Família
2025-02-02,Uber - Trabalho,Transporte,-19.50,Romeu
2025-02-03,Padaria Pão Quente,Alimentação,-13.60,Família
2025-02-03,Gasolina Posto Ipiranga,Carro,-92.00,Família
2025-02-03,Supermercado Dia,Mercado,-256.30,Família
2025-02-04,Padaria Pão Quente,Alimentação,-15.20,Família
2025-02-04,Lanche escolar,Alimentação,-8.00,Filho
2025-02-04,McDonald's - Jantar,Alimentação,-58.90,Família
2025-02-05,Salário,Receita,5000.00,Romeu
2025-02-05,Salário,Receita,4500.00,Julieta
2025-02-05,Padaria Pão Quente,Alimentação,-12.70,Família
2025-02-05,Mensalidade escola,Educação,-650.00,Filho
2025-02-06,Padaria Pão Quente,Alimentação,-14.30,Família
2025-02-06,Lanche escolar,Alimentação,-8.00,Filho
2025-02-06,Farmácia - Antigripal,Saúde,-35.80,Família
2025-02-07,Padaria Pão Quente,Alimentação,-13.50,Família
2025-02-07,Feira livre,Mercado,-75.60,Família
2025-02-07,Cinema - Ingressos,Lazer,-84.00,Família
2025-02-08,Aluguel Fevereiro,Moradia,-1800.00,Família
2025-02-08,Padaria Pão Quente,Alimentação,-15.80,Família
2025-02-08,Supermercado Carrefour,Mercado,-298.70,Família
2025-02-09,Padaria Pão Quente,Alimentação,-11.60,Família
2025-02-09,Pizzaria Domino's,Alimentação,-95.00,Família
2025-02-10,Padaria Pão Quente,Alimentação,-14.40,Família
2025-02-10,Gasolina Posto BR,Carro,-87.00,Família
2025-02-10,Lanche escolar,Alimentação,-8.00,Filho
2025-02-11,Padaria Pão Quente,Alimentação,-12.90,Família
2025-02-11,Lanche escolar,Alimentação,-8.00,Filho
2025-02-11,Spotify Premium,Lazer,-21.90,Romeu
2025-02-12,Conta de Luz,Energia,-165.00,Família
2025-02-12,Conta de Água,Água,-88.00,Família
2025-02-12,Padaria Pão Quente,Alimentação,-13.70,Família
2025-02-12,Uber Eats - Almoço,Alimentação,-65.00,Família
2025-02-13,Padaria Pão Quente,Alimentação,-15.50,Família
2025-02-13,Lanche escolar,Alimentação,-8.00,Filho
2025-02-13,Supermercado Extra,Mercado,-187.90,Família
2025-02-14,Padaria Pão Quente,Alimentação,-12.30,Família
2025-02-14,Flores - Dia dos Namorados,Presentes,-85.00,Romeu
2025-02-14,Jantar romântico,Alimentação,-245.00,Família
2025-02-14,Presente Dia dos Namorados,Presentes,-320.00,Romeu
2025-02-15,Plano de Celular,Telefone,-120.00,Romeu
2025-02-15,Plano de Celular,Telefone,-120.00,Julieta
2025-02-15,Padaria Pão Quente,Alimentação,-14.90,Família
2025-02-15,Feira livre,Mercado,-69.80,Família
2025-02-16,Padaria Pão Quente,Alimentação,-11.40,Família
2025-02-16,Parque infantil,Lazer,-45.00,Filho
2025-02-17,Padaria Pão Quente,Alimentação,-13.80,Família
2025-02-17,Gasolina Posto Shell,Carro,-94.00,Família
2025-02-17,Supermercado Atacadão,Mercado,-312.50,Família
2025-02-18,Padaria Pão Quente,Alimentação,-15.60,Família
2025-02-18,Lanche escolar,Alimentação,-8.00,Filho
2025-02-18,Manutenção do carro - Troca de óleo,Carro,-180.00,Família
2025-02-19,Padaria Pão Quente,Alimentação,-12.50,Família
2025-02-19,Lanche escolar,Alimentação,-8.00,Filho
2025-02-19,Farmácia - Antibiótico,Saúde,-78.90,Filho
2025-02-20,Padaria Pão Quente,Alimentação,-14.20,Família
2025-02-20,Médico pediatra - Consulta,Saúde,-250.00,Filho
2025-02-21,Padaria Pão Quente,Alimentação,-13.40,Família
2025-02-21,Feira livre,Mercado,-72.30,Família
2025-02-21,Sorveteria,Lazer,-38.00,Família
2025-02-22,Padaria Pão Quente,Alimentação,-15.90,Família
2025-02-22,Uniforme escolar,Vestuário,-180.00,Filho
2025-02-22,Lanchonete - Final de semana,Alimentação,-68.00,Família
2025-02-23,Padaria Pão Quente,Alimentação,-11.70,Família
2025-02-23,Shopping - Passeio,Lazer,-125.00,Família
2025-02-24,Padaria Pão Quente,Alimentação,-14.60,Família
2025-02-24,Gasolina Posto Ipiranga,Carro,-89.00,Família
2025-02-24,Supermercado Dia,Mercado,-245.80,Família
2025-02-25,Padaria Pão Quente,Alimentação,-12.80,Família
2025-02-25,Lanche escolar,Alimentação,-8.00,Filho
2025-02-25,Ração para cachorro,Pet,-95.00,Cachorro
2025-02-26,Padaria Pão Quente,Alimentação,-13.90,Família
2025-02-26,Lanche escolar,Alimentação,-8.00,Filho
2025-02-26,Uber - Consulta médica,Transporte,-25.00,Julieta
2025-02-27,Padaria Pão Quente,Alimentação,-15.20,Família
2025-02-27,Feira livre,Mercado,-81.50,Família
2025-02-27,Brinquedo novo,Presentes,-67.00,Filho
2025-02-28,Padaria Pão Quente,Alimentação,-12.40,Família
2025-02-28,Restaurante italiano,Alimentação,-178.00,Família
2025-03-01,Padaria Pão Quente,Alimentação,-14.70,Família
2025-03-01,Cafeteria Starbucks,Alimentação,-42.50,Romeu
2025-03-02,Padaria Pão Quente,Alimentação,-11.90,Família
2025-03-02,Uber - Shopping,Transporte,-16.50,Julieta
2025-03-03,Padaria Pão Quente,Alimentação,-13.60,Família
2025-03-03,Gasolina Posto BR,Carro,-91.00,Família
2025-03-03,Supermercado Extra,Mercado,-267.40,Família
2025-03-04,Padaria Pão Quente,Alimentação,-15.30,Família
2025-03-04,Lanche escolar,Alimentação,-8.00,Filho
2025-03-04,Farmácia - Xarope,Saúde,-32.50,Filho
2025-03-05,Salário,Receita,5000.00,Romeu
2025-03-05,Salário,Receita,4500.00,Julieta
2025-03-05,Padaria Pão Quente,Alimentação,-12.70,Família
2025-03-05,Mensalidade escola,Educação,-650.00,Filho
2025-03-06,Padaria Pão Quente,Alimentação,-14.50,Família
2025-03-06,Lanche escolar,Alimentação,-8.00,Filho
2025-03-06,Netflix,Lazer,-55.90,Família
2025-03-07,Padaria Pão Quente,Alimentação,-13.20,Família
2025-03-07,Feira livre,Mercado,-76.80,Família
2025-03-07,Cinema,Lazer,-84.00,Família
2025-03-08,Aluguel Março,Moradia,-1800.00,Família
2025-03-08,Padaria Pão Quente,Alimentação,-15.80,Família
2025-03-08,Presente Dia da Mulher,Presentes,-250.00,Romeu
2025-03-08,Flores,Presentes,-95.00,Romeu
2025-03-09,Padaria Pão Quente,Alimentação,-11.50,Família
2025-03-09,Almoço domingo,Alimentação,-156.00,Família
2025-03-10,Padaria Pão Quente,Alimentação,-14.40,Família
2025-03-10,Gasolina Posto Shell,Carro,-93.00,Família
2025-03-10,Supermercado Carrefour,Mercado,-289.70,Família
2025-03-11,Padaria Pão Quente,Alimentação,-12.90,Família
2025-03-11,Lanche escolar,Alimentação,-8.00,Filho
2025-03-11,Bob's,Alimentação,-54.90,Família
2025-03-12,Conta de Luz,Energia,-175.00,Família
2025-03-12,Conta de Água,Água,-92.00,Família
2025-03-12,Padaria Pão Quente,Alimentação,-13.80,Família
2025-03-12,Uber Eats - Jantar,Alimentação,-78.50,Família
2025-03-13,Padaria Pão Quente,Alimentação,-15.60,Família
2025-03-13,Lanche escolar,Alimentação,-8.00,Filho
2025-03-13,Farmácia - Vitamina C,Saúde,-48.90,Família
2025-03-14,Padaria Pão Quente,Alimentação,-12.30,Família
2025-03-14,Feira livre,Mercado,-82.40,Família
2025-03-14,Sorveteria,Lazer,-42.00,Família
2025-03-15,Plano de Celular,Telefone,-120.00,Romeu
2025-03-15,Plano de Celular,Telefone,-120.00,Julieta
2025-03-15,Padaria Pão Quente,Alimentação,-14.90,Família
2025-03-15,Shopping - Roupas,Vestuário,-245.00,Família
2025-03-16,Padaria Pão Quente,Alimentação,-11.60,Família
2025-03-16,Parque de diversões,Lazer,-125.00,Filho
2025-03-17,Padaria Pão Quente,Alimentação,-13.70,Família
2025-03-17,Gasolina Posto Ipiranga,Carro,-88.00,Família
2025-03-17,Supermercado Atacadão,Mercado,-325.60,Família
2025-03-18,Padaria Pão Quente,Alimentação,-15.40,Família
2025-03-18,Lanche escolar,Alimentação,-8.00,Filho
2025-03-18,Pizzaria,Alimentação,-102.00,Família
2025-03-19,Padaria Pão Quente,Alimentação,-12.50,Família
2025-03-19,Lanche escolar,Alimentação,-8.00,Filho
2025-03-19,Uber - Trabalho,Transporte,-21.00,Romeu
2025-03-20,Padaria Pão Quente,Alimentação,-14.20,Família
2025-03-20,Dentista - Consulta,Saúde,-180.00,Julieta
2025-03-21,Padaria Pão Quente,Alimentação,-13.40,Família
2025-03-21,Feira livre,Mercado,-79.30,Família
2025-03-21,Brinquedoteca,Lazer,-55.00,Filho
2025-03-22,Padaria Pão Quente,Alimentação,-15.90,Família
2025-03-22,Veterinário - Vacina anual,Pet,-220.00,Cachorro
2025-03-22,Restaurante,Alimentação,-145.00,Família
2025-03-23,Padaria Pão Quente,Alimentação,-11.80,Família
2025-03-23,Churrascaria,Alimentação,-198.00,Família
2025-03-24,Padaria Pão Quente,Alimentação,-14.60,Família
2025-03-24,Gasolina Posto BR,Carro,-95.00,Família
2025-03-24,Supermercado Dia,Mercado,-234.80,Família
2025-03-25,Padaria Pão Quente,Alimentação,-12.70,Família
2025-03-25,Lanche escolar,Alimentação,-8.00,Filho
2025-03-25,Farmácia - Remédio alergia,Saúde,-56.90,Filho
2025-03-26,Padaria Pão Quente,Alimentação,-13.90,Família
2025-03-26,Lanche escolar,Alimentação,-8.00,Filho
2025-03-26,Material escolar adicional,Educação,-87.50,Filho
2025-03-27,Padaria Pão Quente,Alimentação,-15.30,Família
2025-03-27,Feira livre,Mercado,-84.60,Família
2025-03-27,Sorvete,Lazer,-35.00,Família
2025-03-28,Padaria Pão Quente,Alimentação,-12.40,Família
2025-03-28,Ração para cachorro,Pet,-95.00,Cachorro
2025-03-28,Cinema,Lazer,-84.00,Família
2025-03-29,Padaria Pão Quente,Alimentação,-14.80,Família
2025-03-29,Almoço final de semana,Alimentação,-167.00,Família
2025-03-30,Padaria Pão Quente,Alimentação,-11.90,Família
2025-03-30,Parque aquático,Lazer,-185.00,Família
2025-03-31,Padaria Pão Quente,Alimentação,-13.60,Família
2025-03-31,Gasolina Posto Shell,Carro,-92.00,Família
2025-03-31,Supermercado Extra,Mercado,-198.50,Família
2025-04-01,Padaria Pão Quente,Alimentação,-15.20,Família
2025-04-01,Lanche escolar,Alimentação,-8.00,Filho
2025-04-01,McDonald's,Alimentação,-62.90,Família
2025-04-02,Padaria Pão Quente,Alimentação,-12.80,Família
2025-04-02,Uber - Centro,Transporte,-18.50,Julieta
2025-04-02,Spotify,Lazer,-21.90,Romeu
2025-04-03,Padaria Pão Quente,Alimentação,-14.50,Família
2025-04-03,Lanche escolar,Alimentação,-8.00,Filho
2025-04-03,Farmácia - Analgésico,Saúde,-25.80,Família
2025-04-04,Padaria Pão Quente,Alimentação,-13.20,Família
2025-04-04,Feira livre,Mercado,-77.90,Família
2025-04-04,Sorveteria,Lazer,-46.00,Família
2025-04-05,Salário,Receita,5000.00,Romeu
2025-04-05,Salário,Receita,4500.00,Julieta
2025-04-05,Padaria Pão Quente,Alimentação,-15.80,Família
2025-04-05,Mensalidade escola,Educação,-650.00,Filho
2025-04-06,Aluguel Abril,Moradia,-1800.00,Família
2025-04-06,Padaria Pão Quente,Alimentação,-11.60,Família
2025-04-06,Almoço domingo,Alimentação,-142.00,Família
2025-04-07,Padaria Pão Quente,Alimentação,-14.40,Família
2025-04-07,Gasolina Posto Ipiranga,Carro,-89.00,Família
2025-04-07,Supermercado Carrefour,Mercado,-276.30,Família
2025-04-08,Padaria Pão Quente,Alimentação,-12.90,Família
2025-04-08,Lanche escolar,Alimentação,-8.00,Filho
2025-04-08,Netflix,Lazer,-55.90,Família
2025-04-09,Padaria Pão Quente,Alimentação,-13.70,Família
2025-04-09,Lanche escolar,Alimentação,-8.00,Filho
2025-04-09,Uber Eats,Alimentação,-71.50,Família
2025-04-10,Conta de Luz,Energia,-158.00,Família
2025-04-10,Conta de Água,Água,-85.00,Família
2025-04-10,Padaria Pão Quente,Alimentação,-15.50,Família
2025-04-10,Supermercado Atacadão,Mercado,-342.80,Família
2025-04-11,Padaria Pão Quente,Alimentação,-12.30,Família
2025-04-11,Feira livre,Mercado,-73.20,Família
2025-04-11,Cinema,Lazer,-84.00,Família
2025-04-12,Plano de Celular,Telefone,-120.00,Romeu
2025-04-12,Plano de Celular,Telefone,-120.00,Julieta
2025-04-12,Padaria Pão Quente,Alimentação,-14.90,Família
2025-04-12,Pizzaria,Alimentação,-98.00,Família
2025-04-13,Padaria Pão Quente,Alimentação,-11.50,Família
2025-04-13,Shopping - Passeio,Lazer,-135.00,Família
2025-04-14,Padaria Pão Quente,Alimentação,-13.80,Família
2025-04-14,Gasolina Posto BR,Carro,-94.00,Família
2025-04-14,Lanche escolar,Alimentação,-8.00,Filho
2025-04-15,Padaria Pão Quente,Alimentação,-15.60,Família
2025-04-15,Lanche escolar,Alimentação,-8.00,Filho
2025-04-15,Farmácia - Antialérgico,Saúde,-42.90,Família
2025-04-16,Padaria Pão Quente,Alimentação,-12.40,Família
2025-04-16,Lanche escolar,Alimentação,-8.00,Filho
2025-04-16,Bob's,Alimentação,-48.90,Família
2025-04-17,Padaria Pão Quente,Alimentação,-14.20,Família
2025-04-17,Supermercado Dia,Mercado,-223.70,Família
2025-04-17,Feira livre,Mercado,-81.40,Família
2025-04-18,Padaria Pão Quente,Alimentação,-13.50,Família
2025-04-18,Médico clínico - Consulta emergencial,Saúde,-320.00,Romeu
2025-04-18,Farmácia - Medicação,Saúde,-156.80,Romeu
2025-04-19,Padaria Pão Quente,Alimentação,-15.90,Família
2025-04-19,Uber - Hospital,Transporte,-32.00,Romeu
2025-04-19,Exames laboratoriais,Saúde,-285.00,Romeu
2025-04-20,Padaria Pão Quente,Alimentação,-11.70,Família
2025-04-20,Restaurante,Alimentação,-132.00,Família
2025-04-21,Padaria Pão Quente,Alimentação,-14.60,Família
2025-04-21,Gasolina Posto Shell,Carro,-91.00,Família
2025-04-21,Supermercado Extra,Mercado,-198.90,Família
2025-04-22,Padaria Pão Quente,Alimentação,-12.80,Família
2025-04-22,Lanche escolar,Alimentação,-8.00,Filho
2025-04-22,Roupas novas - Loja Renner,Vestuário,-280.00,Romeu
2025-04-23,Padaria Pão Quente,Alimentação,-13.90,Família
2025-04-23,Lanche escolar,Alimentação,-8.00,Filho
2025-04-23,Uber - Trabalho,Transporte,-19.50,Julieta
2025-04-24,Padaria Pão Quente,Alimentação,-15.30,Família
2025-04-24,Feira livre,Mercado,-86.70,Família
2025-04-24,Sorvete,Lazer,-39.00,Família
2025-04-25,Padaria Pão Quente,Alimentação,-12.50,Família
2025-04-25,Tênis escolar - Nike,Vestuário,-150.00,Filho
2025-04-25,Brinquedo,Presentes,-78.00,Filho
2025-04-26,Padaria Pão Quente,Alimentação,-14.70,Família
2025-04-26,Almoço final de semana,Alimentação,-158.00,Família
2025-04-27,Padaria Pão Quente,Alimentação,-11.90,Família
2025-04-27,Parque de diversões,Lazer,-145.00,Família
2025-04-28,Padaria Pão Quente,Alimentação,-13.60,Família
2025-04-28,Gasolina Posto Ipiranga,Carro,-87.00,Família
2025-04-28,Ração para cachorro,Pet,-95.00,Cachorro
2025-04-29,Padaria Pão Quente,Alimentação,-15.40,Família
2025-04-29,Lanche escolar,Alimentação,-8.00,Filho
2025-04-29,Supermercado Carrefour,Mercado,-267.50,Família
